# Học tập & luyện tiếng Anh
school|skuːl|trường học|My school is nearby.
student|ˈstuːdənt|học sinh / sinh viên|I'm a student.
teacher|ˈtiːtʃər|giáo viên|Our teacher explains things clearly.
class|klæs|lớp / buổi học|My class starts at nine.
lesson|ˈlesən|bài học|Today's lesson is about food.
course|kɔrs|khóa học|I'm taking an English course.
homework|ˈhoʊmwɝk|bài tập về nhà (không đếm được)|I need to finish my homework.
exam|ɪɡˈzæm|bài thi|The exam is next week.
question|ˈkwestʃən|câu hỏi|Can I ask a question?
answer|ˈænsər|câu trả lời / trả lời|I don't know the answer.
learn|lɝn|học / tiếp thu|I want to learn English.
study|ˈstʌdi|học / nghiên cứu|I study at the library.
practice|ˈpræktɪs|luyện tập|Let's practice speaking.
understand|ˌʌndərˈstænd|hiểu|I understand the main idea.
remember|rɪˈmembər|nhớ|I remember that word.
forget|fərˈɡet|quên|Don't forget your notebook.
explain|ɪkˈspleɪn|giải thích|Could you explain this word?
repeat|rɪˈpiːt|lặp lại|Please repeat the sentence.
pronounce|prəˈnaʊns|phát âm|How do you pronounce this word?
spell|spel|đánh vần|How do you spell your name?
meaning|ˈmiːnɪŋ|nghĩa|What's the meaning of this phrase?
example|ɪɡˈzæmpəl|ví dụ|Could you give me an example?
take notes|teɪk noʊts|ghi chép|I take notes during class.
look up|lʊk ʌp|tra cứu|Let's look up that word.
make progress|meɪk ˈprɑɡres|tiến bộ|You're making progress.
# Công việc & làm việc cùng nhau
job|dʒɑb|công việc / nghề|What's your job?
work|wɝk|làm việc / công việc|I work from home today.
office|ˈɔfɪs|văn phòng|The office is on the third floor.
team|tiːm|nhóm|We have a small team.
colleague|ˈkɑliːɡ|đồng nghiệp|She's my colleague.
manager|ˈmænɪdʒər|quản lý|I'll ask my manager.
meeting|ˈmiːtɪŋ|cuộc họp|The meeting starts in ten minutes.
task|tæsk|nhiệm vụ|What's the next task?
project|ˈprɑdʒekt|dự án (danh từ)|We're working on a new project.
deadline|ˈdedlaɪn|hạn chót|When is the deadline?
finish|ˈfɪnɪʃ|hoàn thành|I can finish this today.
start|stɑrt|bắt đầu|Let's start with the first question.
update|ˈʌpdeɪt|thông tin cập nhật (danh từ)|Here's a quick update.
problem|ˈprɑbləm|vấn đề|We have a small problem.
solution|səˈluːʃən|giải pháp|Let's find a solution.
idea|aɪˈdiːə|ý tưởng|That's a good idea.
feedback|ˈfiːdbæk|góp ý / phản hồi|Thanks for your feedback.
agree|əˈɡriː|đồng ý|I agree with you.
disagree|ˌdɪsəˈɡriː|không đồng ý|I disagree with that point.
suggest|səˈdʒest|đề xuất; có thể theo sau V-ing|I suggest taking a short break.
work on|wɝk ɑn|đang làm / tập trung vào|I'm working on the report.
deal with|diːl wɪð|xử lý|I'll deal with that issue.
figure out|ˈfɪɡjər aʊt|tìm ra / hiểu ra|Let's figure out what happened.
follow up|ˈfɑloʊ ʌp|hỏi / xử lý tiếp|I'll follow up with the team tomorrow.
let me know|let miː noʊ|cho tôi biết nhé|Let me know if you need help.
# Sở thích & giải trí
hobby|ˈhɑbi|sở thích|What's your favorite hobby?
music|ˈmjuːzɪk|âm nhạc|I listen to music at home.
song|sɔŋ|bài hát|I like this song.
movie|ˈmuːvi|phim|Let's watch a movie.
show|ʃoʊ|chương trình / buổi diễn|What show are you watching?
book|bʊk|sách|I'm reading a good book.
