# Đồ ăn & thức uống
food|fuːd|đồ ăn|The food smells great.
water|ˈwɔtər|nước|Could I have some water?
rice|raɪs|cơm / gạo|We have rice for dinner.
noodles|ˈnuːdəlz|mì / bún / phở (sợi)|I'd like a bowl of noodles.
bread|bred|bánh mì|Would you like some bread?
egg|eɡ|trứng|I'll have a boiled egg.
chicken|ˈtʃɪkɪn|thịt gà / con gà|This chicken is delicious.
beef|biːf|thịt bò|Does this soup contain beef?
fish|fɪʃ|cá|We bought some fresh fish.
vegetable|ˈvedʒtəbəl|rau củ|This dish has lots of vegetables.
fruit|fruːt|trái cây|Would you like some fruit?
apple|ˈæpəl|quả táo|I'll take an apple.
banana|bəˈnænə|quả chuối|There's a banana in my bag.
milk|mɪlk|sữa|Do you have any milk?
tea|tiː|trà|I'd like a cup of tea.
juice|dʒuːs|nước ép|I'll have orange juice.
soup|suːp|súp / canh|The soup is still hot.
sandwich|ˈsænwɪtʃ|bánh mì kẹp|I made a cheese sandwich.
snack|snæk|đồ ăn nhẹ|Let's get a snack.
sweet|swiːt|ngọt|This mango is sweet.
salty|ˈsɔlti|mặn|The soup is a little salty.
spicy|ˈspaɪsi|cay|Is this dish spicy?
sour|ˈsaʊər|chua|These grapes taste sour.
delicious|dɪˈlɪʃəs|ngon|That was delicious.
fresh|freʃ|tươi / mới|The bread is fresh.
# Nhà hàng & gọi món
restaurant|ˈrestərɑnt|nhà hàng|Let's try that restaurant.
cafe|kæˈfeɪ|quán cà phê|Meet me at the cafe.
menu|ˈmenjuː|thực đơn|Could we see the menu?
order|ˈɔrdər|gọi món / đơn hàng|Are you ready to order?
I'd like|aɪd laɪk|tôi muốn (lịch sự)|I'd like the chicken, please.
I'll have|aɪl hæv|tôi chọn / tôi gọi|I'll have the soup.
recommend|ˌrekəˈmend|giới thiệu / đề xuất|What do you recommend?
table for two|ˈteɪbəl fər tuː|bàn cho hai người|A table for two, please.
reservation|ˌrezərˈveɪʃən|việc đặt chỗ|We have a reservation at seven.
available|əˈveɪləbəl|còn / có sẵn|Is a window table available?
waiter|ˈweɪtər|nhân viên nam phục vụ bàn|The waiter brought our food.
server|ˈsɝvər|nhân viên phục vụ bàn (Mỹ)|Let's ask our server.
bill|bɪl|hóa đơn (thường dùng ở Anh)|Could we have the bill, please?
check|tʃek|hóa đơn nhà hàng (Mỹ)|Could we get the check, please?
to go|tə ɡoʊ|mang đi (Mỹ)|A sandwich to go, please.
eat in|iːt ɪn|ăn tại quán trong ngữ cảnh gọi món|We'd like to eat in.
on the side|ɑn ðə saɪd|để riêng ra bên cạnh|Could I have the sauce on the side?
without|wɪˈðaʊt|không có / bỏ|Can I have it without onions?
extra|ˈekstrə|thêm|Could I have extra rice?
less sugar|les ˈʃʊɡər|ít đường hơn|Less sugar, please.
no ice|noʊ aɪs|không đá|Orange juice with no ice, please.
allergic to|əˈlɝdʒɪk tuː|dị ứng với|I'm allergic to peanuts.
vegetarian|ˌvedʒəˈteriən|chay / người ăn chay|Do you have a vegetarian option?
split the bill|splɪt ðə bɪl|chia tiền hóa đơn|Shall we split the bill?
grab a bite|ɡræb ə baɪt|ăn nhanh / ăn chút gì (thân mật)|Let's grab a bite before we leave.
# Mua sắm & thanh toán
