# Di chuyển & hỏi đường
bus|bʌs|xe buýt|Which bus goes downtown?
train|treɪn|tàu hỏa|The train leaves at nine.
taxi|ˈtæksi|taxi|Let's take a taxi.
subway|ˈsʌbweɪ|tàu điện ngầm (Mỹ)|Is there a subway station nearby?
bike|baɪk|xe đạp (trong ngữ cảnh này)|I ride my bike to school.
car|kɑr|ô tô|We came by car.
ticket|ˈtɪkɪt|vé|Where can I buy a ticket?
station|ˈsteɪʃən|nhà ga / trạm|Meet me at the station.
bus stop|bʌs stɑp|trạm xe buýt|The bus stop is across the street.
traffic|ˈtræfɪk|giao thông / xe cộ|There's a lot of traffic today.
get on|ɡet ɑn|lên xe buýt / tàu|Get on the bus here.
get off|ɡet ɔf|xuống xe buýt / tàu|We get off at the next stop.
turn left|tɝn left|rẽ trái|Turn left at the light.
turn right|tɝn raɪt|rẽ phải|Turn right after the bank.
go straight|ɡoʊ streɪt|đi thẳng|Go straight for two blocks.
across from|əˈkrɔs frʌm|đối diện|The cafe is across from the park.
next to|nekst tuː|bên cạnh|It's next to the bookstore.
between|bɪˈtwiːn|ở giữa|The shop is between two cafes.
nearby|ˌnɪrˈbaɪ|gần đây|Is there a pharmacy nearby?
far|fɑr|xa|Is it far from here?
corner|ˈkɔrnər|góc đường / góc|Turn at the next corner.
intersection|ˌɪntərˈsekʃən|giao lộ|Stop at the intersection.
on my way|ɑn maɪ weɪ|đang trên đường đến|I'm on my way.
pick up|pɪk ʌp|đón / lấy|Can you pick me up at five?
drop off|drɑp ɔf|chở đến và cho xuống / giao|Please drop me off here.
# Du lịch & lưu trú
trip|trɪp|chuyến đi|How was your trip?
travel|ˈtrævəl|du lịch / đi lại|I like to travel by train.
vacation|veɪˈkeɪʃən|kỳ nghỉ (Mỹ)|We're on vacation this week.
airport|ˈerpɔrt|sân bay|How far is the airport?
flight|flaɪt|chuyến bay|Our flight leaves at noon.
passport|ˈpæspɔrt|hộ chiếu|Here's my passport.
luggage|ˈlʌɡɪdʒ|hành lý (không đếm được)|Where can I leave my luggage?
suitcase|ˈsuːtkeɪs|va li|This suitcase is mine.
boarding pass|ˈbɔrdɪŋ pæs|thẻ lên máy bay|May I see your boarding pass?
gate|ɡeɪt|cửa ra máy bay / cổng|Our flight leaves from gate ten.
departure|dɪˈpɑrtʃər|sự khởi hành|What's the departure time?
arrival|əˈraɪvəl|sự đến nơi|Our arrival time is six.
delayed|dɪˈleɪd|bị chậm / hoãn|Our flight is delayed.
hotel|hoʊˈtel|khách sạn|We're staying at a small hotel.
book a room|bʊk ə ruːm|đặt phòng|I'd like to book a room.
check in|tʃek ɪn|làm thủ tục nhận phòng / chuyến bay|What time can we check in?
check out|tʃek aʊt|làm thủ tục trả phòng|We need to check out by eleven.
front desk|frʌnt desk|quầy lễ tân|Please ask at the front desk.
room number|ruːm ˈnʌmbər|số phòng|What's your room number?
single room|ˈsɪŋɡəl ruːm|phòng cho một người|I'd like a single room.
double room|ˈdʌbəl ruːm|phòng cho hai người, thường một giường đôi|Is breakfast included with the double room?
included|ɪnˈkluːdɪd|được bao gồm|Is breakfast included?
Wi-Fi password|ˈwaɪ faɪ ˈpæswɝd|mật khẩu Wi-Fi|What's the Wi-Fi password?
sightseeing|ˈsaɪtˌsiːɪŋ|tham quan|We're going sightseeing tomorrow.
map|mæp|bản đồ|Could you show me on the map?
# Thời tiết & thiên nhiên
weather|ˈweðər|thời tiết|What's the weather like?
sunny|ˈsʌni|có nắng|It's sunny today.
cloudy|ˈklaʊdi|nhiều mây|It looks cloudy outside.
rainy|ˈreɪni|có mưa|It's a rainy day.
windy|ˈwɪndi|nhiều gió|It's windy at the beach.
hot|hɑt|nóng|It's hot this afternoon.
warm|wɔrm|ấm|The water is warm.
cool|kuːl|mát|It's cool in the evening.
cold|koʊld|lạnh|Are you cold?
